12.1.0.68209
decor(17799),	-- Soulcoiler Canopy
decor(25337),	-- Hooked Net Trap
decor(25546),	-- Pepe
decor(25812),	-- Pillar of the Coiled Isle
decor(25813),	-- Venom-Fanged Font
decor(26097),	-- Vilescar Weapon Rack
decor(26196),	-- Rustic Fishing Rack
decor(26197),	-- Hanging Yellowed Kelp
decor(26198),	-- Hatchery of Hissing Eggs
decor(26201),	-- Kobold's Hanging Kandles \\ Hanging Candles
decor(26202),	-- Arathor Toy Sword
decor(26203),	-- Twilight Brazier
decor(26205),	-- Soulcoiler's Ritual Candle
decor(26208),	-- Royal Attendant's Coffin
decor(26363),	-- Mounted Moby
decor(26364),	-- Tortollan Traveler's Tincture
decor(26365),	-- Compact Cookfire
decor(26366),	-- Tortollan Slingsack
decor(26370),	-- Empty Tortollan Display Rack
decor(26371),	-- Sea Glass Bauble
decor(26372),	-- Aetherlume Field Lamp
decor(26373),	-- Tortollan Traveler's Chest
decor(26374),	-- Lost Explorers' Mailbox \\ Lost Explorers Mailbox
decor(26377),	-- Zul'Aman Pine Tree
decor(26378),	-- Stretched Snakeskin Rack
decor(26379),	-- Keen Hex Mask
decor(26381),	-- Amani Forgemaster's Decorative Spear \\ Amani Forgemaster's Glaive
decor(26382),	-- Amani Forgemaster's Rack
decor(26383),	-- Coiled Amani Hookshot \\ Coiled Hookshot
decor(26386),	-- Half-Shell Hot Pot
decor(26387),	-- Sea Glass Lamp Post
decor(26389),	-- Apothecary's Tortollan Display Rack
decor(26391),	-- Ersatz Venom Splatter \\ Concocted Poisonous Residue
decor(26477),	-- Draenei Rock Goblet \\ Rock Goblet
decor(26478),	-- Ancient Memories of the Sea
decor(26481),	-- Tortollan Scholar Satchel
decor(26482),	-- Sealeather Sack
decor(26483),	-- Collector's Tortollan Display Rack
decor(26484),	-- Lost Tortollan Scroll
decor(26485),	-- Proudmoore Ship-in-a-Bottle \\ Fine Captain's Bottle
decor(26487),	-- Clumped Asteroidea
decor(26488),	-- Opalescent Amani Peridot
decor(26489),	-- Piercing Amani Lapis
decor(26491),	-- K'areshi Tea Cup
decor(26492),	-- Purified Dracthyr Stein
decor(26494),	-- Purified Goblin Cup
decor(26495),	-- Twilight's Blade Bedroll \\ [DNT] [AUTOGEN] 12TB_TwilightsBlade_Furniture_SleepingCot01.m2
decor(26496),	-- Enchanted Voidwell Fish \\ Enchanted Eversong Trout
decor(26564),	-- Mason's Tortollan Display Rack
decor(26613),	-- Warrens Candlecooker
decor(26614),	-- Kobold Dig-Thing
decor(26617),	-- Highlighting High Light
decor(26618),	-- Small Warrens Candle
decor(26619),	-- Kobold Sit-Thing
decor(26621),	-- Medium Warrens Candle
decor(26651),	-- Stormstout Hanging Lantern
decor(26785),	-- Large Warrens Candle
decor(26786),	-- Large Threedium Warrens Candle
decor(26787),	-- Candle Cage
decor(26788),	-- Bold Kobold Kabin
decor(26789),	-- Hot Kobold Treasure
decor(26871),	-- Tortollan Tarp Tent
decor(26936),	-- Droopy Longwick Rope
decor(26937),	-- Longwick Rope
decor(26938),	-- Cozy Kobold Crate
decor(26939),	-- Hanging Longwick Rope
decor(27041),	-- "Summoning of Ula'tek" Mural \\ Forgotten Amani Mural
decor(27042),	-- "The Hunger Awakens" Mural
decor(27043),	-- "Rage of the Shackled" Mural
12.1.0.68301
decor(25666),	-- Traditional Brewfest Banner
decor(25672),	-- Brewfest Fence
decor(25673),	-- Brewfest Fencepost
decor(25674),	-- Hanging Brewfest Wreath
decor(25675),	-- Brewfest Crate
12.1.0.68412
decor(17800),	-- Flat Snakeskin Canopy
decor(25139),	-- Venomous Defender's Barricade \\ [DNT] [AUTOGEN] 12SN_Snakeoid_Defense_Barricade01.m2
decor(25765),	-- Framed Moonbrook Quilt \\ [DNT] [AUTOGEN] 12PH_Shop_Fall_PSL_BarnQuilt01.M2
decor(25895),	-- Jansen Farm Floral Basket \\ [DNT] [AUTOGEN] 12PH_Shop_Fall_PSL_FloralBasket01.M2
decor(25896),	-- Saldean Autumnal Woven Rug \\ [DNT] [AUTOGEN] 12PH_Shop_Fall_Pastel_Rug01.M2
decor(26367),	-- Protected Tortollan Scroll Case
decor(26380),	-- Chiseled Amani Tablet
decor(26384),	-- "Cursed Gaze of Ula'tek" Mural
decor(26490),	-- Roaring Amani Garnet
decor(26703),	-- Sentinel Hill Rocking Chair \\ [DNT] [AUTOGEN] 12PH_Shop_Fall_PSL_RockingChair01.M2
decor(26704),	-- Demont Orchard Juicer \\ [DNT] [AUTOGEN] 12PH_Shop_Fall_PSL_AppleJuicer01.M2
decor(26705),	-- Furlbrow Farm Pumpkin Trio \\ [DNT] [AUTOGEN] 12PH_Shop_Fall_Pastel_Pumpkins01.M2
decor(26706),	-- Molsen Farm Corn Row \\ [DNT] [AUTOGEN] 12PH_Shop_Fall_Pastel_Corn01.M2
decor(26707),	-- Old Moonbrook Creeping Ivy \\ [DNT] [AUTOGEN] 12PH_Shop_Fall_Pastel_Vines01.M2
decor(26708),	-- Westfall Farmer's Shed \\ [DNT] [AUTOGEN] 12PH_Shop_Fall_Pastel_Shed01.M2
decor(26875),	-- Westfall Harvest Lamp \\ [DNT] [AUTOGEN] 12PH_Shop_Fall_PSL_HangingLight01.M2
decor(26876),	-- Sentinel Hill Picnic Table \\ [DNT] [AUTOGEN] 12PH_Shop_Fall_Pastel_PicnicTable01.M2
decor(26877),	-- Old Moonbrook Daylight Window \\ [DNT] [AUTOGEN] 12PH_Shop_Fall_Pastel_Window01_Day.M2
decor(26878),	-- Tuskarr Fire Pit
decor(26879),	-- Tuskarr Hanging Grill
decor(26935),	-- Seeker's First Draft
decor(26940),	-- Maxwell Stables Saddle \\ [DNT] [AUTOGEN] 12PH_Shop_Fall_PSL_SaddleStand01.M2
decor(27044),	-- Beguiling Memories of the Sea
decor(27045),	-- Torquewrench Tractor \\ [DNT] [AUTOGEN] 12PH_Shop_Fall_PSL_Tractor01.M2
decor(27046),	-- Tuskarr Fishing Gear Rack
decor(27047),	-- [DNT] [AUTOGEN] 12PH_Leg_Book_Troll_03.M2
decor(27167),	-- Color-Curious Candle
12.1.0.68675
decor(17295),	-- [DNT] [AUTOGEN] 12PH_Durotar_Barrel_Large01.M2
decor(17296),	-- [DNT] [AUTOGEN] 12PH_Durotar_Keg01.M2
decor(17798),	-- [DNT] [AUTOGEN] 12SN_Snakeoid_Decor_Canopy01.m2
decor(18486),	-- [DNT] [AUTOGEN] 12SN_Snakeoid_Decor_Canopy04.m2
decor(21615),	-- Venomjade Necklace
decor(25137),	-- Venomous Thread
decor(25138),	-- Venomous Globule
decor(26204),	-- Corrosive Cache
decor(26375),	-- Pungent Atal'Utek Shroom
decor(26376),	-- Atal'Utek Ivy
12.1.0.68914
decor(27973),	-- Old Moonbrook Nighttime Window
