ID,Region,Looping,HolidayNameID,HolidayDescriptionID,Priority,CalendarFilterType,Flags,Duration_0,Duration_1,Duration_2,Duration_3,Duration_4,Duration_5,Duration_6,Duration_7,Duration_8,Duration_9,Date_0,Date_1,Date_2,Date_3,Date_4,Date_5,Date_6,Date_7,Date_8,Date_9,Date_10,Date_11,Date_12,Date_13,Date_14,Date_15,Date_16,Date_17,Date_18,Date_19,Date_20,Date_21,Date_22,Date_23,Date_24,Date_25,CalendarFlags_0,CalendarFlags_1,CalendarFlags_2,CalendarFlags_3,CalendarFlags_4,CalendarFlags_5,CalendarFlags_6,CalendarFlags_7,CalendarFlags_8,CalendarFlags_9,TextureFileDataID_0,TextureFileDataID_1,TextureFileDataID_2
284,0,0,25,25,0,2,1,100,0,0,0,0,0,0,0,0,0,419477504,419821568,420706304,421640192,421984256,422868992,423770112,424114176,424998912,425900032,426784768,427128832,428013568,428914688,429258752,430143488,431044608,431388672,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
285,0,0,23,23,0,2,1,100,0,0,0,0,0,0,0,0,0,414513152,419592192,419936256,420820992,421754880,422639616,422983680,423884800,424769536,425113600,426014720,426899456,427243520,428128256,429029376,429373440,430258176,431159296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,0,0,6,4,0,0,1,2,0,0,0,0,0,0,0,0,0,536855424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,235458,0,0
321,0,0,17,16,2,3,1,168,0,0,0,0,0,0,0,0,0,327301120,344389632,361035776,377567232,394688512,411252736,428898304,444938880,461552256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,235465,235464,235463
324,0,0,16,15,3,3,1,360,0,0,0,0,0,0,0,0,0,529824000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,235462,235461,235460
327,0,0,18,17,3,3,1,336,0,0,0,0,0,0,0,0,0,101104000,118749568,135346560,151386496,169015680,185612672,201668992,219281792,335935872,353450368,369588608,386201984,403749248,419887488,437516928,454064768,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,235471,235470,235469
335,0,0,9,9,2,3,1,120,0,0,0,0,0,0,0,0,0,521320832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,235468,235467,235466
341,0,0,11,10,2,3,1,336,0,0,0,0,0,0,0,0,0,525678848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,235474,235473,235472
1840,0,1,462,512,0,2,1,168,336,0,0,0,0,0,0,0,0,439695872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
1841,0,1,23,23,0,2,1,168,336,0,0,0,0,0,0,0,0,439810560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
1842,0,1,25,25,0,2,1,168,336,0,0,0,0,0,0,0,0,440482304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
1879,0,0,0,13,75,3,3,1464,0,0,0,0,0,0,0,0,0,530823552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,235485,235484,235482
